" ","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS"
"TID_TUTORIAL_KING_WELCOME","Welcome to\nClash Royale!","Bienvenue dans\nClash Royale !","Willkommen bei\nClash Royale!","¡Esto es\nClash Royale!","Benvenuto a\nClash Royale","Welkom bij\nClash Royale!","Velkommen til\nClash Royale!","Clash Royale'a\nHoş Geldin!","クラッシュ・ロワイヤル\nの世界へようこそ！","클래시 로얄에\n오신 것을 환영합니다!","Добро пожаловать\nв Clash Royale","مرحبًا في\nClash Royale!","Bem-vindo ao\nClash Royale!","欢迎来到\n《部落冲突:皇室战争》！","歡迎來到\n《部落衝突:皇室戰爭》！","به\nClash Royale خوش آمدی!","Selamat datang di\nClash Royale!","Selamat datang ke\nClash Royale!"
"TID_TUTORIAL_KING_WELCOME2","Challenger, let's complete some training matches first!","Terminez des combats d'entraînement avant de vous battre pour de bon !","Herausforderer, lass uns zunächst ein paar Trainingskämpfe absolvieren!","En primer lugar, completemos algunas partidas de entrenamiento.","Sfidante, completiamo prima qualche scontro di allenamento!","Uitdager, laten we eerst wat oefengevechten voltooien!","Utfordrer, la oss prøve noen treningskamper først!","Mücadeleci, önce birkaç eğitim maçı tamamlayalım!","まずは訓練から\nはじめよう！","도전자님, 먼저 훈련 매치부터 해보죠!","Искатель, давай проведем парочку тренировочных боев!","أيها المتحدي، فلنكمل بعض المباريات التدريبية أولاً!","Desafiante, vamos concluir algumas partidas de treinamento antes!","你好，挑战者！让我们先完成一些对战训练吧！","你好，挑戰者！讓我們先完成一些對戰訓練吧！","مبارزه طلب، بیا اول یک مقدار بازی تمرینی انجام بدیم!","Penantang, ayo selesaikan pertandingan latihan terlebih dahulu!","Pencabar, mari lengkapkan beberapa perlawanan latihan dahulu!"
"TID_TUTORIAL_1_KING_TEXT1","Welcome to Clash Royale... Let's Go!","Bienvenue dans Clash Royale... C'est parti !","Willkommen bei Clash Royale! Los geht´s!","Esto es Clash Royale. ¡Empecemos!","Benvenuto in Clash Royale... Iniziamo!","Welkom bij Clash Royale. Laten we beginnen!","Velkommen til Clash Royale. Kom igjen!","Clash Royale'a hoş geldin... Haydi başlayalım!","クラッシュ・ロワイヤルにようこそ。\nさっそく始めましょう！","클래시 로얄에 오신 것을 환영합니다. 가봅시다!","Добро пожаловать в Clash Royale... Поехали!","مرحبًا بك في Clash Royale... فلننطلق!","Você está no Clash Royale! Vamos nessa!","欢迎来到《部落冲突:皇室战争》......我们开始吧！","歡迎來到《部落衝突:皇室戰爭》......我們開始吧！","به Clash Royale خوش اومدی... بزن بریم!","Selamat datang di Clash Royale... Ayo!","Selamat datang ke Clash Royale... Mari bermula!"
"TID_TUTORIAL_1_KING_TEXT2","Now, lets learn some DEFENSE!","Intéressons-nous à la défense !","Jetzt wird verteidigt!","Toca aprender cómo defenderse.","Adesso impariamo come DIFENDERE!","Nu leer ik je hoe je je moet verdedigen.","Det er tid for å lære seg litt FORSVAR!","Şimdi biraz SAVUNMA öğrenelim!","まずは防衛について学びましょう！","이제 방어에 대해 배워봅시다!","А теперь давай научимся обороняться!","والآن، لنتعلم بعض أساليب الدفاع!","Vamos falar de DEFESA!","现在，我们来学习防守！","現在，我們來學習防守！","حالا وقتشه یک کم دفاع یاد بگیریم!","Sekarang, ayo belajar PERTAHANAN!","Sekarang, mari kita belajar sedikit PERTAHANAN!"
"TID_TUTORIAL_1_KING_TEXT3","Let's combine our cards for a stronger attack!","Associons nos cartes pour mener une attaque plus puissante !","Kombinieren wir unsere Karten für einen stärkeren Angriff!","¡Combinemos nuestras cartas para lanzar un mayor ataque!","Combiniamo le nostre carte per un attacco più potente!","Laten we onze kaarten combineren voor een sterkere aanval!","La oss kombinere kortene våre for å få et sterkere angrep!","Daha güçlü bir saldırı için kartları birlikte kullanalım!","カードを組み合わせて、より強力な攻撃を行いましょう！","카드를 조합해 더 강력한 공격을 하세요!","Комбинируй карты, чтобы усилить атаку!","فلندمج بطاقاتنا لتحقيق هجوم أقوى!","Vamos combinar nossas cartas por um ataque ainda melhor!","让我们搭配多张卡牌，发动一波强力的进攻！","讓我們搭配多張卡牌，發動一次強力的進攻！","بیا برای حمله قوی‌تر، کارت‌هامون رو ترکیب کنیم!","Yuk gabungkan kartu kita demi serangan yang lebih kuat!","Mari gabungkan kad-kad kita untuk serangan lebih kuat!"
"TID_TUTORIAL_1_KING_TEXT4","Great! Let's see what you've learnt against a tougher opponent","Super ! Voyons ce que vous avez appris face à un adversaire plus fort.","Super! Sehen wir uns jetzt bei einem härteren Gegner an, was du gelernt hast.","¡Estupendo! Veamos lo que has aprendido contra un rival más fuerte.","Fantastico! Vediamo cosa hai imparato contro un avversario più forte!","Geweldig! Laat maar eens zien wat je hebt geleerd tegen een sterkere tegenstander.","Flott! Spill mot en sterkere motstander og vis meg hva du har lært.","Harika! Bakalım daha güçlü bir rakip karşısında ne yapacaksın.","いいですね！ では、強力な敵を相手に実践してみましょう","훌륭해요! 더욱 강한 상대에게 지금까지 배운 걸 써볼까요!","Отлично! Теперь проверим, чему тебе удалось научиться: сразись с противником посильнее.","عظيم! فلنرَ ما تعلمت في مواجهة خصم أقوى","Ótimo! Vamos ver o que você aprendeu contra um adversário mais forte.","干得不错！让我们看看你是不是已经学会了怎样应对更强悍的对手。","做得不錯！讓我們看看你是不是已經學會了怎樣應對更強悍的對手。","عالیه! حالا بینیم در مقابل حریف قدرتمند چه چیزهایی یاد گرفتی","Bagus! Mari kita lihat apa yang telah kamu pelajari melawan musuh yang tangguh","Hebat! Mari lihat perkara yang anda pelajari daripada pihak lawan yang lebih kuat"
"TID_TUTORIAL_1_KING_TEXT5","Now for the final challenge!","Et voici le défi final !","Und jetzt zur letzten Herausforderung!","¡Es hora de que te enfrentes al desafío final!","E ora... la sfida finale!","En dan nu de laatste uitdaging.","Klart for den siste utfordringen!","Sıra son aşamada!","それでは最後の試練です！","이제 마지막 도전입니다!","Переходим к последнему испытанию!","والآن حان موعد التحدي النهائي!","Chegou o desafio final!","现在是最终考验了！","現在是最終考驗了！","حالا برای چالش نهایی!","Sekarang, untuk tantangan akhir!","Sekarang untuk cabaran terakhir!"
"TID_KICK_FROM_TEAM_MESSAGE","You've been kicked out from the Clan!","Vous avez été exclu(e) du clan !","Du wurdest aus dem Clan geworfen!","¡Te han expulsado del clan!","Sei stato espulso dal clan!","Je bent uit de clan gezet!","Du har blitt sparket ut fra klanen!","Klandan atıldın!","クランからはずす","클랜에서 추방되었습니다!","Тебя выгнали из клана!","طرد","Você foi expulso do clã!","您已被踢出部落！","您已被請出部落！","تو رو از قبیله بیرون انداختن!","Kamu sudah ditendang keluar dari Klan!","Anda telah dikeluarkan daripada Klan!"
"TID_NAME_CHANGE_ALREADY_USED","You have already changed your name!","Vous avez déjà changé de nom !","Du hast deinen Namen schon geändert!","Ya has cambiado de nombre.","Hai già cambiato nome!","Je hebt je naam al gewijzigd!","Du har allerede byttet navn!","Adını zaten değiştirdin!","名前はこれ以上変更できません。","이미 이름을 한 번 변경했습니다!","Имя уже изменено!","لقد غيّرت اسمك بالفعل!","Você já alterou seu nome!","您已经更改过名称了！","您已經更改過名稱了！","تو قبلاً اسمت رو عوض کردی!","Kamu sudah pernah mengganti nama!","Anda sudah menukar nama anda!"
"TID_NAME_CHANGE","Change Name","Changer de nom","Namen ändern","Cambiar nombre","Cambia nome","Naam wijzigen","Bytt navn","Adı Değiştir","名前変更","이름 변경","Изменить имя","تغيير الاسم","Alterar o nome","更改名称","更改名稱","تعویض اسم","Ganti Nama","Tukar Nama"
"TID_CHANGE_NAME_BUTTON","Change Name","Changer de nom","Namen ändern","Cambiar nombre","Cambia nome","Naam wijzigen","Bytt navn","Adı Değiştir","名前変更","이름 변경","Изменить имя","تغيير الاسم","Alterar o nome","更改名称","更改名稱","تغییر اسم","Ganti Nama","Tukar Nama"
"TID_CHANGE_NAME_TITLE","Change Name","Changer de nom","Namen ändern","Cambiar nombre","Cambia nome","Naam wijzigen","Bytt navn","Adı Değiştir","名前変更","이름 변경","Изменить имя","تغيير الاسم","Alterar o nome","更改名称","更改名稱","تغییر اسم","Ganti Nama","Tukar Nama"
"TID_SETTINGS_PLAYERNAME_CURRENT","Current Name:","Nom actuel :","Aktueller Name:","Nombre actual:","Nome attuale:","Huidige naam:","Nåværende navn:","Mevcut Ad:","現在の名前：","현재 이름:","Нынешнее имя:","الاسم الحالي:","Nome atual:","当前名称：","當前名稱：","اسم فعلی","Nama Saat Ini:","Nama Semasa:"
"TID_SETTINGS_PLAYERNAME_ENTERNEW","Enter new name:","Nouveau nom :","Neuen Namen eingeben:","Introduce el nuevo nombre:","Inserisci il nuovo nome:","Voer nieuwe naam in:","Skriv inn nytt navn:","Yeni ad gir:","新しい名前を入力：","새 이름 입력:","Введи новое имя:","أدخل الاسم الجديد:","Digite o novo nome:","请输入新名称：","請輸入新名稱：","اسم جدید وارد کن","Masukkan nama baru:","Masukkan nama baharu:"
"TID_CONFIRM_CONFIRM","Please type in \q<CONFIRM>\q and press the Okay button to complete the action","Veuillez taper \q<CONFIRM>\q et appuyer sur le bouton OK pour valider le processus.","Bitte schreibe \q<CONFIRM>\q und drücke \qOkay\q, um diese Aktion abzuschließen.","Introduce <CONFIRM> y pulsa el botón Vale para completar la acción.","Digita \q<CONFIRM>\q e tocca il pulsante OK per completare l'azione.","Typ '<CONFIRM>' en tik op de knop OK om de actie te voltooien","Skriv i \q<CONFIRM>\q og trykk på OK-knappen for å fullføre handlingen","İşlemi tamamlamak için lütfen \q<CONFIRM>\q yaz ve Tamam düğmesine bas","「<CONFIRM>」と入力してOKボタンを押すと、処理が完了します。","\q<CONFIRM>\q을 입력하고 확인 버튼을 눌러 작업을 완료하세요.","Пожалуйста, введи \q<CONFIRM>\q и нажми «Да», чтобы завершить действие.","الرجاء كتابة \q<CONFIRM>\q والضغط على زر موافق لإكمال الإجراء","Digite \q<CONFIRM>\q e pressione o botão Ok para concluir a ação.","请输入\q<CONFIRM>\q并点击\q确认\q按钮来完成操作","請輸入\q<CONFIRM>\q並點擊\q確認\q按鈕來完成操作","لطفاً \q<CONFIRM>\q رو تایپ کن و بعد دکمه باشه رو فشار بده تا کار تکمیل بشه","Ketik \q<CONFIRM>\q dan tekan tombol Oke untuk menyelesaikan tindakan","Sila taipkan \q<CONFIRM>\q dan tekan butang Okey untuk melengkapkan tindakan"
"TID_CONFIRM_OKAY","Okay","OK","Okay","Vale","OK","OK","OK","Tamam","OK","확인","Да","موافق","Ok","确认","確認","تأیید","Oke","Okey"
"TID_CONTINUE","Continue","Continuer","Weiter","Continuar","Continua","Doorgaan","Fortsett","Devam et","続ける","계속하기","Продолжить","المتابعة","Continuar","继续","繼續","ادامه","Lanjutkan","Teruskan"
"TID_NAMECHANGE_WARNING","NOTE: You can only change your name ONCE","ATTENTION : vous ne pouvez changer de nom qu'une seule fois.","HINWEIS: Du kannst deinen Namen nur EINMAL ändern.","AVISO: Solo puedes cambiar de nombre una vez.","ATTENZIONE: puoi cambiare il tuo nome una volta sola!","LET OP: je kunt je naam maar ÉÉN keer wijzigen!","OBS! Du kan bytte navn bare ÉN GANG","NOT: Adını sadece BİR KEZ değiştirebilirsin","注意：名前は一度しか変更できません！","참고: 이름은 한 번만 변경할 수 있습니다.","Внимание: имя можно сменить лишь ОДИН РАЗ!","ملاحظة: يمكنك تغيير اسمك مرة واحدة فقط","ATENÇÃO: Você só pode alterar o nome UMA VEZ.","注意：您只有一次改名机会","注意：您只有一次改名機會","نکته: فقط می‌تونی یک بار تغییر اسم بدی","CATATAN: Kamu hanya dapat mengganti nama SATU KALI","NOTA: Anda hanya boleh menukar nama anda SEKALI"
"TID_CONFIRM","Confirm","Confirmer","Bestätigen","Confirmar","Conferma","Bevestigen","Bekreft","Onayla","決定","확인","Подтвердить","تأكيد","Confirmar","确认","確認","تایید","Konfirmasi","Sah"
"TID_SETTINGS_PLAYERNAME_REENTERNEW","Re-enter your new name:","Confirmer le nouveau nom :","Namen erneut eingeben:","Vuelve a introducir el nombre:","Reinserisci il nuovo nome:","Voer je nieuwe naam opnieuw in:","Skriv inn navnet på nytt:","Yeni adını tekrar gir:","新しい名前を再入力：","새 이름 다시 입력:","Введи новое имя еще раз:","أعد إدخال الاسم الجديد:","Digite seu novo nome mais uma vez:","请再次输入您的新名称：","請再次輸入您的新名稱：","اسم جدید خودت رو دوباره وارد کن:","Masukkan lagi nama barumu:","Masukkan semula nama baharu anda:"
"TID_NAME_ALREADY_CHANGED","Name can only be changed once.","Vous ne pouvez changer de nom qu'une fois.","Der Name kann nur einmal geändert werden.","Solo se puede cambiar de nombre una vez.","Puoi cambiare nome solo una volta.","Je kunt je naam maar één keer wijzigen.","Navnet kan bare forandres én gang.","Ad yalnızca bir defa değiştirilebilir.","名前の変更は一度しかできません。","이름은 한 번만 변경할 수 있습니다.","Имя можно поменять только один раз.","يمكن تغيير الاسم مرة واحدة فقط.","O nome só pode ser alterado uma vez.","名称仅能更改一次。","名稱僅能更改一次。","فقط یک بار میشه اسم رو تغییر داد.","Nama hanya dapat diganti satu kali.","Nama hanya boleh ditukar sekali."
"TID_NAME_CHANGE_TH_LEVEL_TOO_LOW","Name change is available starting from XP level <level>","Pour changer de nom, votre EXP doit être de niveau <level>.","Namenswechsel ist ab EP-Level <level> verfügbar.","El cambio de nombre está disponible a partir del nivel <level>.","Puoi cambiare nome a partire dal livello XP <level>","Een naamswijziging is beschikbaar vanaf XP-level <level>","Du kan endre navn fra og med XP-nivå <level>","Ad değişikliği, <level>. TP seviyesinden itibaren yapılabilir","名前の変更は経験値レベル<level>から可能です","이름은 XP <level> 레벨부터 바꿀 수 있습니다.","Изменить имя можно будет, достигнув <level> уровня.","تغيير الاسم متاح بدايةً من مستوى الخبرة <level>","A alteração de nome pode ser feita a partir do nível <level> de XP.","升至<level>级可以更改名称","升至<level>級可以更改名稱","تغییر نام از سطح تجربه <level> در دسترس هست","Ganti nama tersedia mulai dari XP level <level>","Pertukaran nama tersedia bermula daripada XP tahap <level>"
"TID_ERROR_NAMES_DONT_MATCH","Names don't match. Please try again.","Les deux entrées sont différentes. Veuillez réessayer.","Namen stimmen nicht überein. Bitte versuche es erneut.","Los nombres no coinciden. Inténtalo de nuevo.","I nomi non corrispondono. Riprova.","De namen komen niet overeen. Probeer het opnieuw.","Navnene er ikke like. Prøv på nytt.","Adlar eşleşmiyor. Lütfen tekrar dene.","名前が一致しません。もう一度入力してください。","이름이 일치하지 않습니다. 다시 시도해주세요.","Имена не совпадают. Пожалуйста, попробуй снова.","الأسماء غير متطابقة. من فضلك حاول ثانيةً.","Os nomes não coincidem. Tente novamente.","所输名称不一致，请重试。","輸入名稱不一致，請重試。","اسم‌ها یکسان نیستند. لطفاً دوباره امتحان کن.","Nama tidak cocok. Harap coba lagi.","Nama tidak sepadan. Sila cuba lagi."
"TID_NAME_CHANGED_SUCCESS","Your name was changed!","Votre nom a été changé !","Dein Name wurde geändert!","¡Has cambiado de nombre!","Il tuo nome è stato cambiato!","Je naam is gewijzigd!","Du byttet navn!","Adın değiştirildi!","名前を変更しました！","이름이 변경되었습니다!","Имя изменено!","تم تغيير اسمك!","Seu nome foi alterado!","您的名称已更改！","您的名稱已更改！","اسمت عوض شد!","Namamu sudah diganti!","Nama anda telah ditukar!"
"TID_NAME_CHANGE_IN_PROGRESS","Cannot change name. Previous name change is in progress.","Changement de nom impossible. Un changement de nom est déjà en cours.","Name kann nicht geändert werden. Namensänderung wird bereits ausgeführt.","No puedes cambiar de nombre. Ya hay un cambio de nombre en curso.","Impossibile cambiare nome. Cambiamento precedente in corso.","Je kunt je naam niet wijzigen. De vorige naamswijziging is nog aan de gang.","Kan ikke bytte navn. Navnebytte pågår allerede.","Ad değiştirilemiyor. Önceki ad değişikliği işleniyor.","名前を変更できません。前回の名前変更の手続き中です。","이름을 변경할 수 없습니다. 이전 이름을 변경 중입니다.","Нельзя изменить имя. Предыдущее изменение еще не осуществлено.","لا يمكن تغيير الاسم. تغيير الاسم السابق جارٍ بالفعل.","Não foi possível alterar o nome. Uma alteração anterior está em andamento.","无法更改名称。上个名称更改正在处理中。","無法更改名稱。上個名稱更改正在處理中。","امکان تعویض اسم نیست. فرایند تعویض اسم قبلی در حال انجام هست.","Tidak dapat mengganti nama. Penggantian nama sebelumnya sedang diproses.","Tidak boleh menukar nama. Perubahan nama sebelum ini sedang dijalankan."
"TID_SETTINGS_PLAYERNAME_CONFIRM_NEW","Are you sure you want to change your name?\nYour new name will be:","Voulez-vous vraiment changer de nom ?\nVotre nouveau nom sera :","Möchtest du deinen Namen wirklich ändern?\nDein neuer Name:","¿Seguro que quieres cambiar de nombre?\nTu nuevo nombre será:","Vuoi davvero cambiare nome?\nIl tuo nuovo nome sarà:","Weet je zeker dat je je naam wilt wijzigen?\nJe nieuwe naam wordt:","Er du sikker på at du vil endre navn?\nDitt nye navn blir:","Adını değiştirmek istediğinden emin misin?\nYeni adın şu olacak:","本当に名前を変更しますか？\n新しい名前：","정말 이름을 변경하시겠습니까?\n새 이름은 다음과 같습니다.","Ты точно хочешь изменить имя?\nТеперь тебя будут звать:","هل تريد بالتأكيد تغيير اسمك؟\nسيكون اسمك الجديد:","Quer mesmo alterar seu nome?\nSeu novo nome será:","您确定要更改名称吗？\n您的新名称是：","您確定要更改名稱嗎？\n您的新名稱是：","آیا مطمئنی که می‌خوای اسمت رو عوض کنی؟\nاسم جدیدت میشه:","Yakin ingin mengganti namamu?\nNama barumu nanti:","Anda pasti ingin menukar nama anda?\nNama baharu anda ialah:"
"TID_TAUNT_LIMIT_FULL","Emote limit reached!","Limite d'émoticônes atteinte !","Emote-Limit erreicht!","¡Límite de reacciones alcanzado!","Limite provocazioni raggiunto!","Emote-limiet bereikt!","Du har nådd grensen for uttrykksikoner!","Duygu limitine erişildi!","スタンプ使用数の上限に達しました","이모티콘 한도 초과!","Лимит эмодзи исчерпан!","وصلت إلى حد الأشكال التعبيرية!","Limite diário atingido!","表情发送次数已达上限！","表情發送次數已達上限！","به محدود ابراز احساسات رسیدی!","Batas emote tercapai!","Had Emote dicapai!"
"TID_CANNOT_USE_MIRROR_FIRST","Mirror cannot be used as a first card","Le miroir ne peut pas être utilisé en tant que première carte.","Spiegel kann nicht als erste Karte verwendet werden.","No puedes empezar usando el hechizo de espejo.","Specchio non può essere utilizzato come prima carta","Spiegel kan niet worden gebruikt als eerste kaart","Speil kan ikke brukes som første kort","Ayna, ilk kart olarak kullanılamaz","鏡は最初のカードとしては使えません","반사경은 첫 카드로 사용할 수 없습니다.","Зеркало не может быть первой картой","لا يمكن استخدام المرآة كبطاقة أولى","O Espelho não pode ser usado como primeira carta.","镜像法术不能作为第一张卡牌使用","鏡像法術不能作為第一張卡牌使用","نمیشه از آینه به عنوان کارت اول استفاده کرد","Cermin tidak dapat digunakan sebagai kartu pertama","Cermin tidak dapat digunakan sebagai kad pertama"
"TID_BUTTON_BROWSE","Browse","Parcourir","Auswählen","Explorar","Sfoglia","Zoeken","Bla","Göz at","えらぶ","둘러보기","Просмотреть","تصفح","Procurar","浏览","瀏覽","مرور کردن","Jelajahi","Semak imbas"
"TID_REGION_ANY","Any","Indifférente","Beliebig","Cualquiera","Qualsiasi","Willekeurig","Alle","Herhangi","すべて","모두","Любое","أي","Qualquer","任何","任何","هر مورد","Bebas","Apa jua"
"TID_SPEED1","x1","x1","x1","x1","x1","1x","x1","x1","x1","x1","х1","x1","x1","x1","x1","1 برابر","x1","x1"
"TID_SPEED2","x1.5","x1,5","x1,5","x1,5","x1,5","1,5x","x1,5","x1,5","x1.5","x1.5","x1,5","x1.5","x1,5","x1.5","x1.5","1.5 برابر","x1,5","x1.5"
"TID_SPEED3","x2","x2","x2","x2","x2","2x","x2","2 kat","x2","x2","x2","x2","x2","x2","x2","2 برابر","x2","x2"
"TID_SPEED4","x3","x3","x3","x3","x3","3x","x3","3 kat","x3","x3","x3","x3","x3","x3","x3","3 برابر","x3","x3"
"TID_POPUP_ANDROID_EXIT_TITLE","Exit Clash Royale?","Quitter Clash Royale ?","Clash Royale beenden?","Salir de Clash Royale","Uscire da Clash Royale?","Clash Royale verlaten?","Avslutte Clash Royale?","Clash Royale'dan çık?","クラッシュ・ロワイヤルの終了","클래시 로얄을 종료합니까?","Выйти из Clash Royale?","الخروج من Clash Royale؟","Sair do Clash Royale","要退出《部落冲突:皇室战争》吗？","確定要離開《部落衝突:皇室戰爭》？","خروج از Clash Royale؟","Keluar dari Clash Royale?","Keluar daripada Clash Royale?"
"TID_POPUP_ANDROID_EXIT","Are you sure you want to exit Clash Royale?","Voulez-vous vraiment quitter Clash Royale ?","Möchtest du Clash Royale wirklich beenden?","¿Seguro que quieres salir de Clash Royale?","Vuoi davvero uscire da Clash Royale?","Weet je zeker dat je Clash Royale wilt verlaten?","Er du sikker på at du vil avslutte Clash Royale?","Clash Royale'dan çıkmak istediğinden emin misin?","クラッシュ・ロワイヤルを終了してもよろしいですか？","정말로 클래시 로얄을 종료하시겠습니까?","Ты точно хочешь выйти из Clash Royale?","هل تريد بالتأكيد الخروج من Clash Royale؟","Quer mesmo sair do Clash Royale?","您确定要退出《部落冲突:皇室战争》吗？","你確定要離開《部落衝突:皇室戰爭》？","واقعاً مطمئنی که می‌خوای از Clash Royale خارج بشی؟","Yakin ingin keluar Clash Royale?","Anda pasti ingin keluar daripada Clash Royale?"
"TID_GOOGLEPLAY_SIGNIN_TIP","Use Google Play Sign-in to safeguard your progress and to play on multiple Android devices.","Utilisez la connexion Google Play pour sauvegarder votre progression et jouer sur différents appareils Android.","Melde dich mit Google Play an, um deinen Fortschritt zu sichern und auf mehreren Android-Geräten zu spielen.","Conecta con Google Play para proteger tu progreso y poder acceder desde varios dispositivos Android.","Effettua l'accesso a Google Play per proteggere i tuoi progressi e giocare su più dispositivi Android.","Meld je aan bij Google Play om je voortgang veilig te stellen en op meerdere Android-apparaten te spelen.","Logg på Google Play for å beskytte fremgangen din og spille på flere Android-enheter.","İlerlemeni korumak ve birden fazla Android cihazda oynamak için Google Play Girişini kullan.","Google Playサインインを利用すると、ゲームの進行状況が保護されるほか、複数のAndroidデバイスでのプレイが可能になります。","Google Play 계정 로그인을 통해 게임 진행 상황을 안전하게 유지하고 여러 대의 Android 기기에서 게임을 즐기세요.","Используй Google Play, чтобы обезопасить свой прогресс и играть на нескольких устройствах Android.","استخدم تسجيل الدخول إلى Google Play لحماية تقدمك وللعب على أجهزة Android متعددة.","Entre no jogo com o Google Play para salvar o seu progresso e jogar em vários dispositivos Android.","登录Google Play来保存您的游戏进度，并可在多台安卓设备上玩游戏。","登入 Google Play 來保存您的遊戲進度以及在多部 Android 裝置上進行遊戲。","برای حفاظت از پیشرفتی که داشتی و بازی روی چند دستگاه Android از ورود به سیستم Google Play استفاده کن.","Gunakan Google Play Sign-in untuk mengamankan kemajuanmu dan untuk bermain di beberapa perangkat Android.","Gunakan Google Play Sign-in untuk melindungi perkembangan anda dan bermain pada berbilang peranti Android."
"TID_GAMECENTER_SIGNIN_TIP","Sign in using your Game Center to safeguard your progress and to play on multiple iOS devices.","Connectez-vous via Game Center pour sauvegarder votre progression et jouer sur différents appareils iOS.","Melde dich über dein Game Center an, um deinen Fortschritt zu sichern und auf mehreren iOS-Geräten zu spielen.","Inicia sesión en Game Center para proteger tu progreso y poder acceder desde varios dispositivos iOS.","Effettua l'accesso usando Game Center per proteggere i tuoi progressi e giocare su più dispositivi iOS.","Meld je aan via Game Center om je voortgang veilig te stellen en op meerdere iOS-apparaten te spelen.","Logg på med Game Center-kontoen din for å beskytte fremgangen din og spille på flere iOS-enheter.","İlerlemeni korumak ve birden fazla iOS cihazda oynamak için Game Center'ını kullanarak giriş yap.","Game Centerを通じてサインインすると、ゲームの進行状況が保護されるほか、複数のiOSデバイスでのプレイが可能になります。","Game Center에 로그인해 게임 진행 상황을 저장하고 여러 대의 iOS기기에서 게임을 플레이해 보세요.","Войди в Game Center, чтобы обезопасить свой прогресс и играть на нескольких устройствах iOS.","قم بتسجيل الدخول باستخدام حسابك على Game Center لحماية تقدمك وللعب على أجهزة iOS متعددة.","Entre no jogo usando o Game Center para salvar o seu progresso e jogar em vários dispositivos iOS.","登录Game Center来保存您的游戏进度，并可在多台苹果设备上玩游戏。","登入您的 Game Center 來保存您的遊戲進度以及在多部 iOS 裝置上進行遊戲。","برای حفاظت از پیشرفتی که داشتی و بازی روی چند دستگاه iOS با استفاده از Game Center وارد بازی شو.","Masuk dengan Game Center untuk mengamankan kemajuanmu dan untuk bermain di beberapa perangkat iOS.","Daftar masuk menggunakan Game Center anda untuk melindungi perkembangan anda dan bermain pada berbilang peranti iOS."
"TID_JUPITER_SIGNIN_TIP","Sign in using your QQ or WeChat to safeguard your progress and to play on multiple devices.","Connectez-vous via QQ ou WeChat pour sauvegarder votre progression et jouer sur différents appareils.","Melde dich über dein WeChat- oder QQ-Konto an, um deinen Fortschritt zu sichern und auf mehreren Geräten zu spielen.","Inicia sesión en QQ o WeChat para proteger tu progreso y poder acceder desde varios dispositivos.","Effettua l'accesso usando WeChat o QQ per proteggere i tuoi progressi e giocare su più dispositivi.","Meld je aan via WeChat of QQ om je voortgang veilig te stellen en op meerdere apparaten te spelen.","Logg på med QQ- eller WeChat-kontoen din for å beskytte fremdriften og spille på flere enheter.","İlerlemeni korumak ve birden fazla cihazda oynamak için QQ veya WeChat'ini kullanarak giriş yap.","QQまたはWeChatを通じてサインインすると、ゲームの進行状況が保護されるほか、複数のデバイスでのプレイが可能になります。","WeChat 또는 QQ에 로그인해서 게임 진행 상황을 저장하고 여러 대의 기기에서 게임을 플레이해 보세요.","Войди в WeChat или QQ, чтобы обезопасить свой прогресс и играть на нескольких устройствах.","قم بتسجيل الدخول باستخدام حسابك على WeChat أو QQ لحماية تقدمك وللعب على أجهزة متعددة.","Entre no jogo usando o WeChat ou QQ para salvar o seu progresso e jogar em vários aparelhos.","登录QQ或微信来保存您的游戏进度，并可在多台设备上玩游戏。","登入QQ或微信來保存您的遊戲進度，並可在多台裝置上玩遊戲。","برای حفاظت از پیشرفتی که داشتی و بازی روی چند دستگاه با استفاده از WeChat یا QQ وارد بازی شو.","Masuk dengan QQ atau WeChat milikmu untuk mengamankan kemajuanmu dan untuk bermain di beberapa perangkat.","Daftar masuk menggunakan QQ atau WeChat anda untuk melindungi perkembangan anda dan bermain pada berbilang peranti iOS."
"TID_GOOGLE_PLAY_SIGNIN","Google Play Sign-in","Connexion Google Play","Google Play-Anmeldung","Conexión con Google Play","Accesso a Google Play","Google Play Sign-In","Logg på Google Play","Google Play ile Giriş","Google Playサインイン","Google Play 계정 로그인","Google Play Вход","تسجيل الدخول إلى Google Play","Login no Google Play","Google Play登录","Google Play登入","ورود به سیستم Google Play","Google Play Sign-in","Google Play Sign-in"
"TID_LANGUAGE","Language","Langue","Sprache","Idioma","Lingua","Taal","Språk","Dil","言語","언어","Язык","اللغة","Idioma","语言","語言","زبان","Bahasa","Bahasa"
"TID_CONFIRM_CHANGE_LANGUAGE_TITLE","Language settings","Paramètres de langue","Spracheinstellungen","Configuración de idioma","Impostazioni lingua","Taalinstellingen","Språkinnstillinger","Dil ayarları","言語設定","언어 설정","Настройки языка","إعدادات اللغة","Configurações de idioma","语言设置","語言設定","تنظیمات زبان","Setelan Bahasa","Tetapan bahasa"
